fighter_profile,name,nickname,dob,height,weight,reach,stance,fight_link,event,event_link,event_date,fighter_name,opponent_name,opponent_profile,fighter_result,opponent_result,fight_type,championship,perf_of_night,fight_of_night,sub_of_night,ko_of_night,method,round,time,fight_type.1,fight_desc
http://www.ufcstats.com/fighter-details/f4c49976c75c5ab2,Conor McGregor,The Notorious,"Jul 14, 1988","5' 9""",155 lbs.,"74""",Southpaw,http://www.ufcstats.com/fight-details/7d0ce28ce8a77eb1,UFC 264: Poirier vs. McGregor 3,http://www.ufcstats.com/event-details/8a0be41c0380188d,"July 10, 2021",Conor McGregor,Dustin Poirier,http://www.ufcstats.com/fighter-details/029eaff01e6bb8f0,L,W,Lightweight Bout,-,-,-,-,-,TKO - Doctor's Stoppage,1,5:00,5 Rnd (5-5-5-5-5),
http://www.ufcstats.com/fighter-details/f4c49976c75c5ab2,Conor McGregor,The Notorious,"Jul 14, 1988","5' 9""",155 lbs.,"74""",Southpaw,http://www.ufcstats.com/fight-details/3d3e7dc7b4bf2bc4,UFC 257: Poirier vs. McGregor,http://www.ufcstats.com/event-details/4304992c2acc187b,"January 23, 2021",Conor McGregor,Dustin Poirier,http://www.ufcstats.com/fighter-details/029eaff01e6bb8f0,L,W,Lightweight Bout,-,1,-,-,-,KO/TKO,2,2:32,5 Rnd (5-5-5-5-5),Punches to Head At Distance
http://www.ufcstats.com/fighter-details/f4c49976c75c5ab2,Conor McGregor,The Notorious,"Jul 14, 1988","5' 9""",155 lbs.,"74""",Southpaw,http://www.ufcstats.com/fight-details/eed6c9aff2234b7a,UFC 246: McGregor vs. Cowboy,http://www.ufcstats.com/event-details/0c1773639c795466,"January 18, 2020",Conor McGregor,Donald Cerrone,http://www.ufcstats.com/fighter-details/1d00756835ca67c9,W,L,Welterweight Bout,-,1,-,-,-,KO/TKO,1,0:40,5 Rnd (5-5-5-5-5),Punches to Head On Ground
http://www.ufcstats.com/fighter-details/f4c49976c75c5ab2,Conor McGregor,The Notorious,"Jul 14, 1988","5' 9""",155 lbs.,"74""",Southpaw,http://www.ufcstats.com/fight-details/3eea92e7f26fb05b,UFC 229: Khabib vs. McGregor,http://www.ufcstats.com/event-details/1ef0eae31904e534,"October 06, 2018",Conor McGregor,Khabib Nurmagomedov,http://www.ufcstats.com/fighter-details/032cc3922d871c7f,L,W,UFC Lightweight Title Bout,1,-,-,-,-,Submission,4,3:03,5 Rnd (5-5-5-5-5),Neck Crank From Back Control
http://www.ufcstats.com/fighter-details/f4c49976c75c5ab2,Conor McGregor,The Notorious,"Jul 14, 1988","5' 9""",155 lbs.,"74""",Southpaw,http://www.ufcstats.com/fight-details/1d7015553debd1c8,UFC 205: Alvarez vs McGregor,http://www.ufcstats.com/event-details/4956f60b7fa57c1a,"November 12, 2016",Conor McGregor,Eddie Alvarez,http://www.ufcstats.com/fighter-details/33a331684283900f,W,L,UFC Lightweight Title Bout,1,1,-,-,-,KO/TKO,2,3:04,5 Rnd (5-5-5-5-5),Punches to Head At Distance
http://www.ufcstats.com/fighter-details/f4c49976c75c5ab2,Conor McGregor,The Notorious,"Jul 14, 1988","5' 9""",155 lbs.,"74""",Southpaw,http://www.ufcstats.com/fight-details/648396cc751c730d,UFC 202: Diaz vs. McGregor 2,http://www.ufcstats.com/event-details/5da4e8dc02e50ac0,"August 20, 2016",Conor McGregor,Nate Diaz,http://www.ufcstats.com/fighter-details/8355922d564b152c,W,L,Welterweight Bout,-,-,1,-,-,Decision - Majority,5,5:00,5 Rnd (5-5-5-5-5),Derek Cleary 47 - 48. Glenn Trowbridge 47 - 47. Jeff Mullen 47 - 48.
http://www.ufcstats.com/fighter-details/f4c49976c75c5ab2,Conor McGregor,The Notorious,"Jul 14, 1988","5' 9""",155 lbs.,"74""",Southpaw,http://www.ufcstats.com/fight-details/4ace70bff9debdfb,UFC 196: McGregor vs Diaz,http://www.ufcstats.com/event-details/db1f2ed63b54b9a7,"March 05, 2016",Conor McGregor,Nate Diaz,http://www.ufcstats.com/fighter-details/8355922d564b152c,L,W,Welterweight Bout,-,1,1,-,-,Submission,2,4:12,5 Rnd (5-5-5-5-5),Rear Naked Choke
http://www.ufcstats.com/fighter-details/f4c49976c75c5ab2,Conor McGregor,The Notorious,"Jul 14, 1988","5' 9""",155 lbs.,"74""",Southpaw,http://www.ufcstats.com/fight-details/b302e12550278ffd,UFC 194: Aldo vs McGregor,http://www.ufcstats.com/event-details/354808cf38d9d73c,"December 12, 2015",Conor McGregor,Jose Aldo,http://www.ufcstats.com/fighter-details/d0f3959b4a9747e6,W,L,UFC Featherweight Title Bout,1,1,-,-,-,KO/TKO,1,0:13,5 Rnd (5-5-5-5-5),Punch to Head At Distance
http://www.ufcstats.com/fighter-details/f4c49976c75c5ab2,Conor McGregor,The Notorious,"Jul 14, 1988","5' 9""",155 lbs.,"74""",Southpaw,http://www.ufcstats.com/fight-details/70290140b6a8e038,UFC 189: Mendes vs McGregor,http://www.ufcstats.com/event-details/3be081c29bf734d9,"July 11, 2015",Conor McGregor,Chad Mendes,http://www.ufcstats.com/fighter-details/b5b684eac99ae0a3,W,L,UFC Interim Featherweight Title Bout,1,1,-,-,-,KO/TKO,2,4:57,5 Rnd (5-5-5-5-5),Punch to Head At Distance
http://www.ufcstats.com/fighter-details/f4c49976c75c5ab2,Conor McGregor,The Notorious,"Jul 14, 1988","5' 9""",155 lbs.,"74""",Southpaw,http://www.ufcstats.com/fight-details/3d468536e8904b93,UFC Fight Night: McGregor vs Siver,http://www.ufcstats.com/event-details/f9aa6376ae16bfb4,"January 18, 2015",Conor McGregor,Dennis Siver,http://www.ufcstats.com/fighter-details/5f87a5c00b3d17ed,W,L,Featherweight Bout,-,1,-,-,-,KO/TKO,2,1:54,5 Rnd (5-5-5-5-5),Punch to Head At Distance
