eventHyperlink,eventLink,location 
http://ufcstats.com/event-details/e15d0a2519d6a0b5,"UFC Fight Night: Santos vs. WalkerOctober 02, 2021","Las Vegas, Nevada, USA"
http://ufcstats.com/event-details/0eec866a077889f0,"UFC 266: Volkanovski vs. OrtegaSeptember 25, 2021","Las Vegas, Nevada, USA"
http://ufcstats.com/event-details/4c27ca8c8481f79a,"UFC Fight Night: Smith vs. SpannSeptember 18, 2021","Las Vegas, Nevada, USA"
http://ufcstats.com/event-details/b9532d815060de7f,"UFC Fight Night: Brunson vs. TillSeptember 04, 2021","Las Vegas, Nevada, USA"
http://ufcstats.com/event-details/0db9d2486d564a3c,"UFC Fight Night: Barboza vs. ChikadzeAugust 28, 2021","Las Vegas, Nevada, USA"
http://ufcstats.com/event-details/2f13e4020cea5b38,"UFC Fight Night: Cannonier vs. GastelumAugust 21, 2021","Las Vegas, Nevada, USA"
http://ufcstats.com/event-details/972197a8c61ac413,"UFC 265: Lewis vs. GaneAugust 07, 2021","Houston, Texas, USA"
http://ufcstats.com/event-details/320edfb0332b7073,"UFC Fight Night: Hall vs. StricklandJuly 31, 2021","Las Vegas, Nevada, USA"
http://ufcstats.com/event-details/e57f0b06ea39e360,"UFC Fight Night: Sandhagen vs. DillashawJuly 24, 2021","Las Vegas, Nevada, USA"
http://ufcstats.com/event-details/40389d39a92f5bfa,"UFC Fight Night: Makhachev vs. MoisesJuly 17, 2021","Las Vegas, Nevada, USA"
http://ufcstats.com/event-details/8a0be41c0380188d,"UFC 264: Poirier vs. McGregor 3July 10, 2021","Las Vegas, Nevada, USA"
http://ufcstats.com/event-details/a1d6b308781aa2f5,"UFC Fight Night: Gane vs. VolkovJune 26, 2021","Las Vegas, Nevada, USA"
http://ufcstats.com/event-details/9ddfb3369a3b0394,"UFC Fight Night: Jung vs. IgeJune 19, 2021","Las Vegas, Nevada, USA"
http://ufcstats.com/event-details/0b64d0fed453ef7f,"UFC 263: Adesanya vs. Vettori 2June 12, 2021","Glendale, Arizona, USA"
http://ufcstats.com/event-details/3b2485c8d5c8b580,"UFC Fight Night: Rozenstruik vs. SakaiJune 05, 2021","Las Vegas, Nevada, USA"
http://ufcstats.com/event-details/277ffed20cf07aea,"UFC Fight Night: Font vs. GarbrandtMay 22, 2021","Las Vegas, Nevada, USA"
http://ufcstats.com/event-details/744f50016c39c26c,"UFC 262: Oliveira vs. ChandlerMay 15, 2021","Houston, Texas, USA"
http://ufcstats.com/event-details/58a36b4ccf5dc30e,"UFC Fight Night: Rodriguez vs. WatersonMay 08, 2021","Las Vegas, Nevada, USA"
http://ufcstats.com/event-details/d57e6a8971b6d2bd,"UFC Fight Night: Reyes vs. ProchazkaMay 01, 2021","Las Vegas, Nevada, USA"
http://ufcstats.com/event-details/27541033b97c076d,"UFC 261: Usman vs. Masvidal 2April 24, 2021","Jacksonville, Florida, USA"
http://ufcstats.com/event-details/4a35913bd9aa4161,"UFC Fight Night: Whittaker vs. GastelumApril 17, 2021","Las Vegas, Nevada, USA"
http://ufcstats.com/event-details/9114c8ded5ccd71d,"UFC Fight Night: Vettori vs. HollandApril 10, 2021","Las Vegas, Nevada, USA"
http://ufcstats.com/event-details/6597b611f1c32555,"UFC 260: Miocic vs. NgannouMarch 27, 2021","Las Vegas, Nevada, USA"
http://ufcstats.com/event-details/c36e1f4fa755ffb4,"UFC Fight Night: Brunson vs. HollandMarch 20, 2021","Las Vegas, Nevada, USA"
http://ufcstats.com/event-details/8c90c1563972e44d,"UFC Fight Night: Edwards vs. MuhammadMarch 13, 2021","Las Vegas, Nevada, USA"
http://ufcstats.com/event-details/6e2b1d631832921d,"UFC 259: Blachowicz vs. AdesanyaMarch 06, 2021","Las Vegas, Nevada, USA"
http://ufcstats.com/event-details/81b57acd6975ac06,"UFC Fight Night: Rozenstruik vs. GaneFebruary 27, 2021","Las Vegas, Nevada, USA"
