,eventLink,eventName,eventDateString,eventLocation,eventListedFights,date,upcoming
599,http://ufcstats.com/event-details/236a37d96d476164,UFC Fight Night: Lemos vs. Andrade,April 23 2022,"Las Vegas, Nevada, USA",0,2022-04-23,1
598,http://ufcstats.com/event-details/8753e125f4499816,UFC Fight Night: Luque vs. Muhammad,April 16 2022,"Las Vegas, Nevada, USA",0,2022-04-16,1
597,http://ufcstats.com/event-details/1fac46d466abd5b8,UFC Fight Night: Blachowicz vs. Rakic,March 26 2022,"Columbus, Ohio, USA",0,2022-03-26,1
596,http://ufcstats.com/event-details/1d00756835ca67c9,UFC Fight Night: Volkov vs. Aspinall,March 19 2022,"London, England, United Kingdom",0,2022-03-19,1
595,http://ufcstats.com/event-details/1f9344211ca7fd60,UFC Fight Night: Santos vs. Ankalaev,March 12 2022,"Las Vegas, Nevada, USA",0,2022-03-12,1
594,http://ufcstats.com/event-details/75e0d3cc2262b732,UFC 272: Covington vs. Masvidal,March 05 2022,"Las Vegas, Nevada, USA",0,2022-03-05,1
593,http://ufcstats.com/event-details/f6a7b02c42e9fc5b,UFC Fight Night: Dariush vs. Makhachev,February 26 2022,"Las Vegas, Nevada, USA",0,2022-02-26,1
592,http://ufcstats.com/event-details/77940e45bc86208e,UFC Fight Night: Dos Anjos vs. Fiziev,February 19 2022,"Las Vegas, Nevada, USA",0,2022-02-19,1
591,http://ufcstats.com/event-details/cbb682f5fcc44bfc,UFC 271: Adesanya vs. Whittaker 2,February 12 2022,"Houston, Texas, USA",0,2022-02-12,1
0,http://ufcstats.com/event-details/883922e5cd6d8473,UFC Fight Night: Hermansson vs. Strickland,February 05 2022,"Las Vegas, Nevada, USA",0,2022-02-05,0
1,http://ufcstats.com/event-details/335ad945324c3a2e,UFC 270: Ngannou vs. Gane,January 22 2022,"Anaheim, California, USA",11,2022-01-22,0
2,http://ufcstats.com/event-details/f5585e675af7afd4,UFC Fight Night: Kattar vs. Chikadze,January 15 2022,"Las Vegas, Nevada, USA",10,2022-01-15,0
3,http://ufcstats.com/event-details/2a470ad41c22c25a,UFC Fight Night: Lewis vs. Daukaus,December 18 2021,"Las Vegas, Nevada, USA",13,2021-12-18,0
4,http://ufcstats.com/event-details/ef927e4fe2117ab8,UFC 269: Oliveira vs. Poirier,December 11 2021,"Las Vegas, Nevada, USA",14,2021-12-11,0
5,http://ufcstats.com/event-details/509697e08673d2e5,UFC Fight Night: Font vs. Aldo,December 04 2021,"Las Vegas, Nevada, USA",13,2021-12-04,0
